# Core Polish vocabulary, ordered by approximate frequency in modern spoken and written use.
# Line order within this file IS the frequency rank, so inserting a word shifts everything after it.
# Columns: polish <TAB> english <TAB> pos <TAB> cefr <TAB> topics (comma separated, may be empty)
# pos: n v adj adv prn num prep conj part interj expr
i	and	conj	A1
być	to be	v	A1	daily-conversation
w	in	prep	A1
nie	no, not	part	A1	daily-conversation
to	this, that	prn	A1	daily-conversation
się	oneself	prn	A1
na	on	prep	A1
z	with, from	prep	A1
że	that	conj	A1
do	to, into	prep	A1
a	and, but	conj	A1
o	about	prep	A1
ten	this	prn	A1
ja	I	prn	A1	introductions
mieć	to have	v	A1	daily-conversation
ale	but	conj	A1	daily-conversation
za	behind, for	prep	A1
jak	how, as	adv	A1	daily-conversation
tak	yes, so	part	A1	daily-conversation
po	after, along	prep	A1
który	which, who	prn	A1
co	what	prn	A1	daily-conversation
ty	you	prn	A1	introductions
od	from	prep	A1
przez	through, by	prep	A1
móc	to be able to	v	A1	daily-conversation
ona	she	prn	A1	introductions
on	he	prn	A1	introductions
przy	near, by	prep	A1	directions
tylko	only	adv	A1	daily-conversation
bardzo	very	adv	A1	daily-conversation
już	already	adv	A1	time
rok	year	n	A1	time,dates
człowiek	person, human	n	A1	people
my	we	prn	A1	introductions
gdy	when	conj	A1	time
czy	whether	part	A1	daily-conversation
dla	for	prep	A1
też	also	adv	A1	daily-conversation
jeden	one	num	A1	numbers
wszystko	everything	prn	A1	daily-conversation
sobie	oneself	prn	A1
taki	such	prn	A1
gdzie	where	adv	A1	directions
kiedy	when	adv	A1	time
jeszcze	still, yet	adv	A1	time
nawet	even	adv	A2
dzień	day	n	A1	time,dates
wiedzieć	to know	v	A1	daily-conversation
czas	time	n	A1	time
oni	they	prn	A1	introductions
ono	it	prn	A1
bo	because	conj	A1	daily-conversation
chcieć	to want	v	A1	daily-conversation
teraz	now	adv	A1	time
bez	without	prep	A1
dobry	good	adj	A1	personality
nowy	new	adj	A1
tam	there	adv	A1	directions
tu	here	adv	A1	directions
wy	you (plural)	prn	A1	introductions
jego	his	prn	A1
mój	my	prn	A1	introductions
duży	big	adj	A1	shapes
mały	small	adj	A1	shapes
praca	work	n	A1	work,office
życie	life	n	A1
dom	house, home	n	A1	home
świat	world	n	A1	nature
robić	to do, to make	v	A1	daily-conversation
iść	to go (on foot)	v	A1	directions
pod	under	prep	A1	directions
sposób	way, manner	n	A2
znać	to know (someone)	v	A1	daily-conversation
dwa	two	num	A1	numbers
razem	together	adv	A1	relationships
inny	other	adj	A1
mówić	to speak	v	A1	daily-conversation
woda	water	n	A1	drinks,nature
oko	eye	n	A1	body
ręka	hand, arm	n	A1	body
kobieta	woman	n	A1	people
mężczyzna	man	n	A1	people
dziecko	child	n	A1	family
miejsce	place	n	A1	directions
miasto	city	n	A1	cities
kraj	country	n	A1	countries
droga	road, way	n	A1	directions,transport
głowa	head	n	A1	body
strona	side, page	n	A2	books
myśleć	to think	v	A1	daily-conversation
widzieć	to see	v	A1	body
dawać	to give	v	A1
brać	to take	v	A1
znaleźć	to find	v	A2
zrobić	to do (perfective)	v	A1
powiedzieć	to say	v	A1	daily-conversation
dużo	a lot	adv	A1	numbers
mało	few, little	adv	A1	numbers
trzeba	one must	v	A2
można	one can	v	A2
zawsze	always	adv	A1	time
nigdy	never	adv	A1	time
często	often	adv	A1	time
czasem	sometimes	adv	A1	time
rzadko	rarely	adv	A2	time
znowu	again	adv	A2	time
jeśli	if	conj	A2
więc	so, therefore	conj	A2
dlatego	that is why	conj	A2
ponieważ	because	conj	A2
chociaż	although	conj	B1
jednak	however	conj	B1
oczywiście	of course	adv	A2	daily-conversation
naprawdę	really	adv	A1	daily-conversation
może	maybe	adv	A1	daily-conversation
pewnie	probably, surely	adv	A2
prawie	almost	adv	A2
całkiem	quite	adv	B1
zupełnie	completely	adv	B1
trochę	a little	adv	A1	numbers
więcej	more	adv	A1	numbers
mniej	less	adv	A1	numbers
najlepszy	the best	adj	A2
lepszy	better	adj	A2
gorszy	worse	adj	A2
pierwszy	first	num	A1	numbers
drugi	second	num	A1	numbers
ostatni	last	adj	A1	time
następny	next	adj	A2	time
cały	whole	adj	A1
każdy	each, every	prn	A1
żaden	none	prn	A2
kilka	several	num	A1	numbers
wiele	many	num	A2	numbers
sam	alone, myself	prn	A1
dobrze	well	adv	A1	daily-conversation
źle	badly	adv	A1	daily-conversation
szybko	quickly	adv	A1
wolno	slowly	adv	A1
łatwo	easily	adv	A2
trudno	with difficulty	adv	A2
matka	mother	n	A1	family
ojciec	father	n	A1	family
syn	son	n	A1	family
córka	daughter	n	A1	family
brat	brother	n	A1	family
siostra	sister	n	A1	family
rodzina	family	n	A1	family
przyjaciel	friend	n	A1	relationships
mama	mum	n	A1	family
tata	dad	n	A1	family
noc	night	n	A1	time
rano	morning	n	A1	time
wieczór	evening	n	A1	time
tydzień	week	n	A1	time,dates
miesiąc	month	n	A1	time,dates
godzina	hour	n	A1	time
minuta	minute	n	A1	time
chwila	moment	n	A2	time
dzisiaj	today	adv	A1	time,dates
wczoraj	yesterday	adv	A1	time,dates
jutro	tomorrow	adv	A1	time,dates
jedzenie	food	n	A1	food
chleb	bread	n	A1	food
mleko	milk	n	A1	drinks,food
kawa	coffee	n	A1	drinks
herbata	tea	n	A1	drinks
piwo	beer	n	A1	drinks
wino	wine	n	A1	drinks
sok	juice	n	A1	drinks
mięso	meat	n	A1	food
ryba	fish	n	A1	food,fish
owoc	fruit	n	A1	food
warzywo	vegetable	n	A1	food
jabłko	apple	n	A1	food
ziemniak	potato	n	A1	food
ser	cheese	n	A1	food
jajko	egg	n	A1	food
cukier	sugar	n	A1	food,cooking
sól	salt	n	A1	food,cooking
masło	butter	n	A1	food
zupa	soup	n	A1	food,cooking
obiad	lunch, dinner	n	A1	food
śniadanie	breakfast	n	A1	food
kolacja	supper	n	A1	food
jeść	to eat	v	A1	food
pić	to drink	v	A1	drinks
gotować	to cook	v	A1	cooking
kupować	to buy	v	A1	shopping
sklep	shop	n	A1	shopping
pieniądze	money	n	A1	shopping,finance
cena	price	n	A1	shopping,finance
drogi	expensive	adj	A1	shopping
tani	cheap	adj	A1	shopping
płacić	to pay	v	A1	shopping,finance
kosztować	to cost	v	A1	shopping,finance
samochód	car	n	A1	transport
pociąg	train	n	A1	transport
autobus	bus	n	A1	transport
samolot	plane	n	A1	transport,airport
rower	bicycle	n	A1	transport
ulica	street	n	A1	directions,cities
sklepik	corner shop	n	B1	shopping
szkoła	school	n	A1	school
nauczyciel	teacher	n	A1	school,professions
uczeń	pupil	n	A1	school
student	student	n	A1	university
uczyć	to teach	v	A1	school
uczyć się	to study	v	A1	studying
książka	book	n	A1	books
zeszyt	notebook	n	A1	classroom
długopis	pen	n	A1	classroom
ołówek	pencil	n	A1	classroom
lekcja	lesson	n	A1	school,classroom
egzamin	exam	n	A1	studying
pytanie	question	n	A1	daily-conversation
odpowiedź	answer	n	A1	daily-conversation
słowo	word	n	A1
język	language, tongue	n	A1	body
zdanie	sentence, opinion	n	A2
czytać	to read	v	A1	books
pisać	to write	v	A1
liczyć	to count	v	A1	numbers
rozumieć	to understand	v	A1	daily-conversation
pamiętać	to remember	v	A1
zapomnieć	to forget	v	A1
pomagać	to help	v	A1	daily-conversation
pracować	to work	v	A1	work
odpoczywać	to rest	v	A1	hobbies
spać	to sleep	v	A1	health
wstawać	to get up	v	A1	daily-conversation
siadać	to sit down	v	A1
stać	to stand	v	A1
chodzić	to walk, to go	v	A1	directions
jechać	to travel, to drive	v	A1	transport
biegać	to run	v	A1	sports
pływać	to swim	v	A1	sports
latać	to fly	v	A1	transport
otwierać	to open	v	A1
zamykać	to close	v	A1
zaczynać	to begin	v	A1
kończyć	to finish	v	A1
czekać	to wait	v	A1
szukać	to look for	v	A1
pokazywać	to show	v	A1
słuchać	to listen	v	A1	music
słyszeć	to hear	v	A1	body
patrzeć	to look	v	A1	body
kochać	to love	v	A1	relationships,emotions
lubić	to like	v	A1	emotions
nienawidzić	to hate	v	A2	emotions
bać się	to be afraid	v	A1	emotions
śmiać się	to laugh	v	A1	emotions
płakać	to cry	v	A1	emotions
cieszyć się	to be glad	v	A2	emotions
martwić się	to worry	v	A2	emotions
dziękować	to thank	v	A1	greetings
prosić	to ask, to request	v	A1	daily-conversation
przepraszać	to apologise	v	A1	greetings
witać	to greet	v	A1	greetings
żegnać	to say goodbye	v	A2	greetings
