# Education, work, technology and leisure vocabulary. Columns as in core.tsv.
dyrektor	headmaster, director	n	A2	school,office
klasa	class, classroom	n	A1	school,classroom
świadectwo	school report	n	B1	school
przedmiot	subject, object	n	A2	school,studying
matematyka	mathematics	n	A1	school
historia	history, story	n	A1	school
geografia	geography	n	A1	school
biologia	biology	n	A1	school
chemia	chemistry	n	A1	school
fizyka	physics	n	A1	school
ferie	school holidays	n	A2	school,dates
dzwonek	bell, ringtone	n	A2	school,smartphone
stołówka	canteen	n	A2	school,food
boisko	sports pitch	n	A2	school,sports
wydział	faculty	n	B1	university
semestr	semester	n	A2	university
sesja	exam session	n	B1	university
stypendium	scholarship	n	B1	university
akademik	student hall	n	B1	university
rektor	rector	n	B2	university
dziekan	dean	n	B2	university
praca magisterska	master's thesis	n	B2	university
licencjat	bachelor's degree	n	B1	university
doktorat	doctorate	n	B2	university
ławka	desk, bench	n	A2	classroom
projektor	projector	n	B1	classroom,office
gąbka	sponge	n	B1	classroom,household
podręcznik	textbook	n	A2	classroom,books
słownik	dictionary	n	A1	classroom,books
obecność	attendance	n	B1	classroom
skupienie	focus	n	B2	studying
motywacja	motivation	n	B1	studying
powtórka	revision	n	B1	studying
fiszka	flashcard	n	B1	studying
streszczenie	summary	n	B1	studying,books
pamięć	memory	n	A2	studying,computer
postęp	progress	n	B1	studying
nawyk	habit	n	B1	studying
kolega z pracy	colleague	n	A2	office,work
nadgodziny	overtime	n	B1	office,work
urlop	leave, holiday	n	A2	office,work
zwolnienie	sick note, dismissal	n	B1	office,work
pensja	salary	n	A2	office,finance
awans	promotion	n	B1	office,work
rozmowa kwalifikacyjna	job interview	n	B1	office,work
stanowisko	position, post	n	B1	office,work
dział	department	n	A2	office,business
sekretarka	secretary	n	A2	office,professions
konferencja	conference	n	A2	office,meetings
agenda	agenda	n	B2	meetings
uczestnik	participant	n	B1	meetings
prowadzący	chair, host	n	B2	meetings
wniosek	conclusion, motion	n	B1	meetings,law
ustalenia	arrangements	n	B2	meetings
telekonferencja	conference call	n	B2	meetings,office
zaproszenie	invitation	n	A2	meetings,relationships
podsumowanie	summary	n	B1	meetings,studying
inwestycja	investment	n	B1	business,finance
budżet	budget	n	B1	business,finance
koszt	cost	n	A2	business,finance
dochód	income	n	B1	business,finance
akcje	shares	n	B2	business,finance
marka	brand	n	A2	business
