# Generated by build_pictures.py. Columns: polish <TAB> english <TAB> photo search phrase (empty: no picture).
być	to be	
nie	no	
się	myself	
ten	this	
mieć	to have	
ale	but	
jak	how	
tak	yes	
który	which	
przez	by	
móc	to be able to	
ona	she	
przy	near, by	
tylko	just	
bardzo	very	
już	already	
rok	year	calendar year
człowiek	person, human	person standing
gdy	when	
czy	whether	
dla	for	
też	too	
jeden	one	one item
wszystko	all	
sobie	oneself	
taki	such	
gdzie	where	
kiedy	when	
jeszcze	still	
nawet	even	
dzień	day	sunny day
wiedzieć	to know	
czas	time	
oni	they	
ono	it	
chcieć	to want	
teraz	now	
bez	without	
dobry	good	
nowy	new	new phone
tam	there	
jego	his	
mój	my	
duży	big	big dog
mały	small	small cat
praca	work	office work desk
życie	life	person alive
dom	house	house exterior
świat	world	earth from space
robić	to do	person doing task
iść	to go	person walking
pod	under	
sposób	way	
znać	to know (someone)	people talking
dwa	two	two apples
razem	together	people walking together
inny	other	different mug
mówić	to speak	person speaking
woda	water	glass of water
oko	eye	human eye
ręka	hand	raised hand
kobieta	woman	woman standing
mężczyzna	man	man running
dziecko	kid	sleeping child
miejsce	place	empty place
miasto	city	city skyline
kraj	country	country landscape
droga	road, way	road
głowa	head	human head
strona	side	book page
myśleć	to think	
widzieć	to see	
dawać	to give	person giving gift
brać	to take	person taking bag
znaleźć	to find	person finding keys
zrobić	to do (perfective)	person doing homework
powiedzieć	to say	person speaking truth
dużo	a lot	
mało	little	
trzeba	one must	
można	you can	
zawsze	always	
nigdy	never	
często	often	
czasem	sometimes	
rzadko	rarely	
znowu	again	
jeśli	if	
więc	so	
dlatego	which is why	
ponieważ	because	
chociaż	though	
jednak	however	
oczywiście	of course	
naprawdę	really	
może	maybe	
pewnie	sure	
prawie	almost	
całkiem	quite	
zupełnie	completely	
trochę	a bit	
więcej	more	
mniej	less	
najlepszy	best	
lepszy	better	
gorszy	worse	
pierwszy	first	first day
drugi	second	second cup
ostatni	last	last piece
następny	next	next stop
cały	whole	whole apple
każdy	each, every	
żaden	none	
kilka	several	several apples
wiele	many	many tasks
sam	alone	
dobrze	well	
źle	badly	
szybko	quick	
wolno	slow	
łatwo	easily	
trudno	it's difficult	
matka	mother	mother cooking
ojciec	father	father working
syn	son	sleeping son
córka	daughter	daughter liking ice cream
brat	brother	brother playing soccer
siostra	sister	sister reading book
rodzina	family	family eating dinner
przyjaciel	friend	friend standing nearby
mama	mum	mother holding child
tata	dad	father with child
noc	night	night sky
rano	in the morning	
wieczór	evening	evening city street
tydzień	week	
miesiąc	month	
godzina	hour	hourglass clock
minuta	minute	clock showing one minute
chwila	one sec	
dzisiaj	today	
wczoraj	yesterday	
jutro	tomorrow	
jedzenie	food	assorted food table
chleb	bread	loaf of bread
mleko	milk	glass of milk
kawa	coffee	cup of coffee
herbata	tea	cup of tea
piwo	beer	glass of beer
wino	wine	glass of red wine
sok	juice	glass of juice
mięso	meat	raw meat
ryba	fish	fresh fish
owoc	fruit	piece of fruit
warzywo	vegetable	green vegetables
jabłko	apple	red apple
ziemniak	potato	potato on table
ser	cheese	block of cheese
jajko	egg	boiled egg
cukier	sugar	granulated sugar
sól	salt	table salt
masło	butter	butter on bread
zupa	soup	bowl of soup
obiad	lunch	served lunch
śniadanie	breakfast	breakfast table
kolacja	dinner	dinner table
jeść	to eat	person eating
pić	to drink	person drinking water
gotować	to cook	person cooking soup
kupować	to buy	person shopping
sklep	store	grocery store
pieniądze	money	pile of money
cena	price	price tag
drogi	dear	expensive gift
tani	cheap	cheap bread
płacić	to pay	person paying cash
kosztować	to cost	price of cake
samochód	car	red car
pociąg	train	passenger train
autobus	bus	city bus
samolot	plane	passenger airplane
rower	bicycle	bicycle on street
ulica	street	city street
sklepik	corner shop	small corner shop
szkoła	school	school building
nauczyciel	teacher	teacher in classroom
uczeń	pupil	school pupil
student	student	university student
uczyć	to teach	teacher in classroom
uczyć się	to learn	
książka	book	stack of books
zeszyt	notebook	spiral notebook
długopis	pen	blue pen
ołówek	pencil	yellow pencil
lekcja	lesson	classroom lesson
egzamin	exam	written exam
pytanie	question	
odpowiedź	answer	
słowo	word	
język	tongue	human tongue
zdanie	sentence, opinion	
czytać	to read	person reading book
pisać	to write	person writing letter
liczyć	to count	child counting fingers
rozumieć	to understand	
pamiętać	to remember	
zapomnieć	to forget	
pomagać	to help	
pracować	to work	person working at desk
odpoczywać	to rest	person resting on couch
spać	to sleep	sleeping child in bed
